"","Gene"
"338","DYRK3"
"339","RGS5"
"340","PPM1D"
"341","CSDA"
"342","BCAS1"
"343","PPAP2B"
"344","PDE8B"
"345","AKR1C3"
"346","DYNLL1"
"347","IRS2"
"348","TRADD"
"349","CTSF"
"350","TNFSF10"
"351","CD137L"
"352","ATAR"
"353","DR5"
"354","DYRK4"
"355","LGALS2"
"356","CES2"
"357","NRP2"
"358","NRP1"
"359","SOCS2"
"360","GGH"
"361","SKAP2"
"362","AIP"
"363","EDNRB"
"364","RHOB"
"365","B2M"
"366","EFNB2"
"367","EMX2"
"368","GZMB"
"369","SDHA"
"370","SLC1A2"
"371","BEST1"
"372","KLF4"
"373","CD163"
"374","BAG2"
"375","H6PD"
"376","ASCL1"
"377","BRAF"
"378","CCNG2"
"379","CDH1"
"380","DLX2"
"381","DUSP1"
"382","EFNA1"
"383","EPHA4"
"384","EphB4"
"385","ERBB2"
"386","ETV5"
"387","EZH2"
"388","FAP"
"389","VEGFD"
"390","GALNT2"
"391","GRB14"
"392","MMP2"
"393","PARK2"
"394","TRAF5"
"395","AXIN2"
"396","DIRAS3"
"397","PRPF3"
"398","Map4k4"
"399","CLTC"
"400","KRIT1"
"401","CDKN2B"
"402","DDX1"
"403","MTOR"
"404","Perforin1"
"405","SCD"
"406","CLEC2B"
"407","HP"
"408","AKT1"
"409","ATOH1"
"410","BCL3"
"411","CD80"
"412","MAP3K8"
"413","CTLA4"
"414","ARID3A"
"415","ETS1"
"416","FGR"
"417","FOS"
"418","FOSL2"
"419","GPR17"
"420","MYB"
"421","MYCN"
"422","PODXL"
"423","CXCL11"
"424","p73"
"425","VEGFC"
"426","EOMES"
"427","KCNE3"
"428","HLA.B"
"429","HLA.E"
"430","HMGCS2"
"431","HES1"
"432","IFI27"
"433","IRS1"
"434","KRT16"
"435","RHEB"
"436","DLL1"
"437","S100A11"
"438","SGK1"
"439","TAF1a"
"440","SOX13"
"441","CTDSP2"
"442","HIPK3"
"443","PDZK1IP1"
"444","OLIG2"
"445","SPRY2"
"446","IDH1"
"447","MEOX2"
"448","MICB"
"449","FOXO4"
"450","MTHFD1"
"451","ZBTB16"
"452","PROM1"
"453","CAPZA2"
"454","GZMA"
"455","LGALS4"
"456","NNMT"
"457","NRL"
"458","NTS"
"459","PDGFRA"
"460","SERPINE2"
"461","PIK3CA"
"462","SRPX"
"463","APPBP2"
"464","IPO8"
"465","AGR2"
"466","CXCL13"
"467","MAB21L2"
"468","PRPF8"
"469","MXD4"
"470","PDPN"
"471","EVI2B"
"472","LGALS8_all"
"473","MCAM"
"474","RELB"
"475","GLUT1"
"476","MIA"
"477","IGF2BP3"
"478","CSPGS"
"479","AVIL"
"480","C1ORF2"
"481","NES"
"482","MTHFD2"
"483","SDCCAG8"
"484","NMU"
"485","DBF4"
"486","TUSC3"
"487","BTG3"
"488","MDM2"
"489","ST3GAL2"
"490","ESM1"
"491","FAF1"
"492","MAP4K1"
"493","WIF1"
"494","DUSP12"
"495","RNF13"
"496","KLRC3"
"497","NKG2D"
"498","NID2"
"499","CD93"
"500","ZFPM2"
"501","ICOS"
"502","RERE"
"503","CHIC2"
"504","EHF"
"505","FBXO3"
"506","ALDH1L1"
"507","HEY1"
"508","Hey2"
"509","KCND2"
"510","EPB4L3"
"511","PHLDA3"
"512","SERPINB13"
"513","PRND"
"514","RAD54B"
"515","RPL13A"
"516","STEAP1"
"517","PRPF6"
"518","HMMR"
"519","SCG3"
"520","CLEC5a"
"521","PYCARD"
"522","DDX25"
"523","LGALS13"
"524","TBET"
"525","FOXP3"
"526","SNRNP200"
"527","C13orf15"
"528","CD274"
"529","UBE2T"
"530","ADAMTS3"
"531","HSPA4L"
"532","LAMP3"
"533","BBC3"
"534","DKK2"
"535","TNFRSF21"
"536","CSDC2"
"537","PDLIM3"
"538","HeyL"
"539","SOX8"
"540","LAPTM4A"
"541","KIAA0101"
"542","MELK"
"543","RNF10"
"544","ENPP4"
"545","KIAA1102"
"546","PHLPP2"
"547","ZNF423"
"548","KIAA0746"
"549","ARC"
"550","BOP1"
"551","ARAP2"
"552","KIF13B"
"553","SASH1"
"554","PSD3"
"555","POFUT1"
"556","RasGRP3"
"557","AB13BP"
"558","SUSD5"
"559","DNM3"
"560","PRPF31"
"561","DENND2A"
"562","G0S2"
"563","GMNN"
"564","NAG"
"565","TRMT6"
"566","LGALS5"
"567","PTRH2"
"568","GINS2"
"569","NIP7"
"570","TMEFF2"
"571","EGFL7"
"572","POLK"
"573","CYB5R2"
"574","EMCN"
"575","IMPG2"
"576","NDRG2"
"577","CD244"
"578","PLEK2"
"579","DTL"
"580","GOLM1"
"581","PCDH12"
"582","OAS1"
"583","APLN"
"584","Notch1"
"585","SAMD9"
"586","FERMT"
"587","RASIP1"
"588","ECT2"
"589","SMG8"
"590","TMEM100"
"591","SOX18"
"592","MDS032"
"593","BEX1"
"594","VPS33B"
"595","CD20"
"596","ROBO4"
"597","Dll4"
"598","HOXA5"
"599","KIAA1370"
"600","C8orf4"
"601","FAM20C"
"602","ABCC9"
"603","SPQR1214"
"604","PEDF"
